Painting works and MB status Report as on (19-Oct-2023 13:01:43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department Name : DEPARTMENT(ALL) , Constituency : ALL , District Name : ALL , Mandal Name :ALL , School Name : ALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl. No.,Firm Name,District Name,No.Of Schools In Phase-I,No.Of Schools work estimated,Estimated Amount (In Rs),No.Of Schools Admin Sanctioned,Admin Sanctioned Amount (Rs.),No.Of Schools Admin Sanction not given,,,,,,No.Of Schools MB Recorded By AE,No.of Schools MB Not Recorded By AE,No.Of Schools Check Measured By DEE,No.of Schools MB Not Recorded By DEE,No.of Schools Passorder Generated by EE,Amount (In Rs),No.of Schools Passorder Not Generated by EE,No.of FTOs Generated By DEO,Amount (In Rs),No.of Passorders FTO Not Generated By DEO,Amount (In Rs),No.of FTOs Pending at Additional Collector (LB) for approval,FTOs Amount Pending at Additional Collector (LB) for approval (In Rs),No.of FTOs Approved by Additional Collector (LB),FTOs Amount Approved by Additional Collector (LB) (in Rs),No.of FTOs Uploaded by DC,Amount (In Rs),No.of FTOs Not Uploaded by DC,Amount (In Rs),No.of FTOs Pushed to Bank by SFC,Amount (In Rs),No.of FTOs Pending at SFC for Pushed to Bank,Amount (In Rs),No.of FTOs Paid,Amount (In Rs),No.of FTOs Rejected,Amount (In Rs)
,,,,,,,,No.of schools pending at AE,No.of schools pending at DEE,No.of schools pending at EE,No.of schools pending at DEO,No.Of Schools pending at DC,Total Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,APL-MEIL(Joint Venture),BHADRADRI KOTHAGUDEM,368,97,56978175,76,40412473,0,1,5,15,0,21,73,3,73,0,70,24281245,3,138,24060237,2,221008,0,0,138,24060237,138,24060237,0,0,30,6115238,108,17944999,30,6115238,0,0
2,APL-MEIL(Joint Venture),HANUMAKONDA,176,61,41989959,25,13814877,0,1,2,33,0,36,23,2,22,1,21,6659920,1,32,5111928,10,1547992,0,0,32,5111928,32,5111928,0,0,22,3758275,10,1353653,22,3758275,0,0
3,APL-MEIL(Joint Venture),HYDERABAD,261,179,159772132,169,152691914,1,0,3,0,6,10,55,114,54,1,54,27126276,0,140,26353194,4,773082,0,0,140,26353194,87,19317043,53,7036151,28,4929530,59,14387513,28,4929530,0,0
4,APL-MEIL(Joint Venture),JANGAON,176,68,32441574,68,32441574,0,0,0,0,0,0,46,22,46,0,44,12358447,2,86,12119465,2,238982,0,0,86,12119465,86,12119465,0,0,56,7417781,30,4701684,56,7417781,0,0
5,APL-MEIL(Joint Venture),JOGULAMBA GADWAL,161,90,43519339,89,43220699,0,0,1,0,0,1,69,20,69,0,69,21285878,0,128,19773229,26,1512649,0,0,128,19773229,128,19773229,0,0,72,10713975,56,9059254,72,10713975,0,0
6,APL-MEIL(Joint Venture),KHAMMAM,426,160,102437124,112,68399398,1,1,0,0,46,48,72,40,72,0,72,27035387,0,142,25683748,2,1351639,21,2006710,121,23677038,85,21182067,36,2494971,52,13322510,33,7859557,52,13322510,0,0
7,APL-MEIL(Joint Venture),MAHABUBABAD,316,183,98803617,92,43953685,6,0,7,0,78,91,42,50,42,0,42,13245314,0,82,13143857,2,101457,6,957654,76,12186203,76,12186203,0,0,64,9994151,12,2192052,64,9994151,0,0
8,APL-MEIL(Joint Venture),MEDCHAL,176,83,53349298,82,52833168,0,0,0,0,1,1,47,35,45,2,43,16030368,2,80,14795081,6,1235287,0,0,80,14795081,80,14795081,0,0,34,5892168,46,8902913,34,5892168,0,0
9,APL-MEIL(Joint Venture),NAGARKURNOOL,290,74,32784550,62,28039241,5,0,5,0,2,12,29,33,29,0,25,6920668,4,56,6920668,6,0,26,2774836,30,4145832,30,4145832,0,0,20,2542177,10,1603655,20,2542177,0,0
10,APL-MEIL(Joint Venture),NALGONDA,517,130,55311760,127,53569337,1,1,0,0,1,3,56,71,56,0,56,15673833,0,112,15673833,0,0,10,1159608,102,14514225,102,14514225,0,0,76,10476825,26,4037400,76,10476825,0,0
11,APL-MEIL(Joint Venture),RAJANNA SIRICILLA,172,99,60341896,80,51180839,0,0,8,7,4,19,35,45,34,1,33,9754528,1,48,6457080,18,3297448,0,0,48,6457080,48,6457080,0,0,34,4808939,14,1648141,34,4808939,0,0
12,APL-MEIL(Joint Venture),RANGAREDDY,464,136,75741021,131,72663307,3,1,1,0,0,5,120,11,118,2,118,44788068,0,232,44053549,4,734519,0,0,232,44053549,208,40174875,24,3878674,120,21002279,88,19172596,120,21002279,0,0
13,APL-MEIL(Joint Venture),SANGAREDDY,441,162,96520258,158,92619562,1,1,0,0,2,4,96,62,94,2,94,26992263,0,228,26514260,6,478003,0,0,228,26514260,180,25037447,48,1476813,92,11291770,88,13745677,92,11291770,0,0
14,APL-MEIL(Joint Venture),SIDDIPET,343,160,125944330,139,101119598,5,3,1,0,12,21,93,46,93,0,93,37356085,0,226,37078188,4,277897,54,3134922,172,33943266,172,33943266,0,0,46,8988479,126,24954787,46,8988479,0,0
15,APL-MEIL(Joint Venture),SURYAPET,329,96,44777741,96,44777741,0,0,0,0,0,0,52,44,52,0,52,15322476,0,104,15322476,0,0,22,3679645,82,11642831,82,11642831,0,0,48,6538755,34,5104076,48,6538755,0,0
16,APL-MEIL(Joint Venture),WANAPARTHY,183,100,74312805,52,24741333,0,0,0,33,15,48,52,0,52,0,52,17696357,0,104,17696357,36,0,0,0,104,17696357,104,17696357,0,0,104,17696357,0,0,104,17696357,0,0
17,APL-MEIL(Joint Venture),WARANGAL,223,217,173221888,214,170628689,1,0,0,0,2,3,59,155,59,0,59,23370742,0,116,21582666,10,1788076,0,0,116,21582666,116,21582666,0,0,20,3276121,96,18306545,20,3276121,0,0
18,APL-MEIL(Joint Venture),YADADRI BHUVANAGIRI,251,80,35390648,66,28671365,0,7,2,1,4,14,50,16,50,0,50,13962077,0,88,11365202,12,2596875,0,0,88,11365202,86,11204917,2,160285,14,1583921,72,9620996,14,1583921,0,0
,,TOTAL,5273,2175,1363638115,1838,1115778800,24,16,35,89,173,337,1069,769,1060,9,1047,359859932,13,2142,343705018,150,16154914,139,13713375,2003,329991643,1840,314944749,163,15046894,932,150349251,908,164595498,932,150349251,0,0
